SampleID	Treatment	Time	Species	Abundance		X.SampleID	Time	Treatment	Species	Abundance
CC21D	Treatment	3	Parabacteroides	0.003360538		CC21D	3	2	Parabacteroides	41
CC22A	Treatment	0	Parabacteroides	0.003933348		CC22A	0	2	Parabacteroides	47
CC22B	Treatment	1	Parabacteroides	0.006546524		CC22B	1	2	Parabacteroides	87
CC22C	Treatment	2	Parabacteroides	0.00596498		CC22C	2	2	Parabacteroides	31
CC22D	Treatment	3	Parabacteroides	0.003594278		CC22D	3	2	Parabacteroides	46
CC23A	Treatment	0	Parabacteroides	0.004296875		CC23A	0	2	Parabacteroides	26
CC23B	Treatment	1	Parabacteroides	0.003890657		CC23B	1	2	Parabacteroides	70
CC23C	Treatment	2	Parabacteroides	0.003375614		CC23C	2	2	Parabacteroides	28
CC23D	Treatment	3	Parabacteroides	0.002668289		CC23D	3	2	Parabacteroides	50
CC24A	Treatment	0	Parabacteroides	0.012193883		CC24A	0	2	Parabacteroides	118
CC24B	Treatment	1	Parabacteroides	0.020809542		CC24B	1	2	Parabacteroides	313
CC24D	Treatment	3	Parabacteroides	0.006534205		CC24D	3	2	Parabacteroides	93
CC01A	Control	0	Victivallaceae	0		CC01A	0	1	Victivallaceae	0
CC01B	Control	1	Victivallaceae	0		CC01B	1	1	Victivallaceae	0
CC01C	Control	2	Victivallaceae	0		CC01C	2	1	Victivallaceae	0
CC01D	Control	3	Victivallaceae	0		CC01D	3	1	Victivallaceae	0
CC02A	Control	0	Victivallaceae	3.63E-05		CC02A	0	1	Victivallaceae	1
CC02B	Control	1	Victivallaceae	0		CC02B	1	1	Victivallaceae	0
CC02C	Control	2	Victivallaceae	0		CC02C	2	1	Victivallaceae	0
CC02D	Control	3	Victivallaceae	4.73E-05		CC02D	3	1	Victivallaceae	1
CC03A	Control	0	Victivallaceae	0		CC03A	0	1	Victivallaceae	0
CC03B	Control	1	Victivallaceae	0		CC03B	1	1	Victivallaceae	0
CC03C	Control	2	Victivallaceae	0		CC03C	2	1	Victivallaceae	0
CC03D	Control	3	Victivallaceae	0		CC03D	3	1	Victivallaceae	0
CC04A	Control	0	Victivallaceae	0		CC04A	0	1	Victivallaceae	0
CC04B	Control	1	Victivallaceae	0		CC04B	1	1	Victivallaceae	0
CC04C	Control	2	Victivallaceae	0		CC04C	2	1	Victivallaceae	0
CC04D	Control	3	Victivallaceae	0		CC04D	3	1	Victivallaceae	0
CC05A	Control	0	Victivallaceae	0		CC05A	0	1	Victivallaceae	0
CC05B	Control	1	Victivallaceae	0		CC05B	1	1	Victivallaceae	0
CC05C	Control	2	Victivallaceae	0		CC05C	2	1	Victivallaceae	0
CC05D	Control	3	Victivallaceae	0		CC05D	3	1	Victivallaceae	0
CC06C	Control	2	Victivallaceae	7.13E-05		CC06C	2	1	Victivallaceae	1
CC06D	Control	3	Victivallaceae	0.000130813		CC06D	3	1	Victivallaceae	4
CC07A	Control	0	Victivallaceae	0		CC07A	0	1	Victivallaceae	0
CC07B	Control	1	Victivallaceae	0		CC07B	1	1	Victivallaceae	0
CC07C	Control	2	Victivallaceae	0		CC07C	2	1	Victivallaceae	0
CC07D	Control	3	Victivallaceae	0		CC07D	3	1	Victivallaceae	0
CC08A	Control	0	Victivallaceae	0		CC08A	0	1	Victivallaceae	0
CC08B	Control	1	Victivallaceae	0		CC08B	1	1	Victivallaceae	0
CC08C	Control	2	Victivallaceae	0		CC08C	2	1	Victivallaceae	0
CC08D	Control	3	Victivallaceae	0.000279018		CC08D	3	1	Victivallaceae	3
CC09A	Control	0	Victivallaceae	0		CC09A	0	1	Victivallaceae	0
CC09B	Control	1	Victivallaceae	3.75E-05		CC09B	1	1	Victivallaceae	1
CC09C	Control	2	Victivallaceae	0		CC09C	2	1	Victivallaceae	0
CC09D	Control	3	Victivallaceae	0.000625978		CC09D	3	1	Victivallaceae	8
CC10A	Control	0	Victivallaceae	0		CC10A	0	1	Victivallaceae	0
CC11A	Control	0	Victivallaceae	7.10E-05		CC11A	0	1	Victivallaceae	0
CC11B	Control	1	Victivallaceae	8.06E-05		CC11B	1	1	Victivallaceae	2
CC11C	Control	2	Victivallaceae	0		CC11C	2	1	Victivallaceae	0
CC11D	Control	3	Victivallaceae	0		CC11D	3	1	Victivallaceae	0
CC12A	Control	0	Victivallaceae	0		CC12A	0	1	Victivallaceae	0
CC12B	Control	1	Victivallaceae	0		CC12B	1	1	Victivallaceae	0
CC12C	Control	2	Victivallaceae	0		CC12C	2	1	Victivallaceae	0
CC12D	Control	3	Victivallaceae	0.000157439		CC12D	3	1	Victivallaceae	3
CC13A	Treatment	0	Victivallaceae	0		CC13A	0	2	Victivallaceae	0
CC13B	Treatment	1	Victivallaceae	0		CC13B	1	2	Victivallaceae	0
CC13C	Treatment	2	Victivallaceae	0.000181028		CC13C	2	2	Victivallaceae	3
CC13D	Treatment	3	Victivallaceae	0.000141253		CC13D	3	2	Victivallaceae	2
CC14A	Treatment	0	Victivallaceae	0.000214041		CC14A	0	2	Victivallaceae	4
CC14B	Treatment	1	Victivallaceae	4.19E-05		CC14B	1	2	Victivallaceae	1
CC14C	Treatment	2	Victivallaceae	0		CC14C	2	2	Victivallaceae	0
CC14D	Treatment	3	Victivallaceae	7.44E-05		CC14D	3	2	Victivallaceae	2
CC15A	Treatment	0	Victivallaceae	0		CC15A	0	2	Victivallaceae	0
CC15B	Treatment	1	Victivallaceae	0.000120135		CC15B	1	2	Victivallaceae	3
CC15C	Treatment	2	Victivallaceae	0.000204541		CC15C	2	2	Victivallaceae	5
CC15D	Treatment	3	Victivallaceae	0.00055371		CC15D	3	2	Victivallaceae	12
CC16A	Treatment	0	Victivallaceae	0		CC16A	0	2	Victivallaceae	0
CC16B	Treatment	1	Victivallaceae	4.03E-05		CC16B	1	2	Victivallaceae	1
CC16C	Treatment	2	Victivallaceae	0.000368528		CC16C	2	2	Victivallaceae	2
CC16D	Treatment	3	Victivallaceae	0.000315699		CC16D	3	2	Victivallaceae	7
CC17A	Treatment	0	Victivallaceae	0.000217552		CC17A	0	2	Victivallaceae	4
CC17B	Treatment	1	Victivallaceae	0		CC17B	1	2	Victivallaceae	0
CC17C	Treatment	2	Victivallaceae	0		CC17C	2	2	Victivallaceae	0
CC17D	Treatment	3	Victivallaceae	0		CC17D	3	2	Victivallaceae	0
CC18A	Treatment	0	Victivallaceae	0		CC18A	0	2	Victivallaceae	0
CC18C	Treatment	2	Victivallaceae	0.000245987		CC18C	2	2	Victivallaceae	4
CC18D	Treatment	3	Victivallaceae	7.18E-05		CC18D	3	2	Victivallaceae	1
CC19A	Treatment	0	Victivallaceae	0		CC19A	0	2	Victivallaceae	0
CC19B	Treatment	1	Victivallaceae	0.000215223		CC19B	1	2	Victivallaceae	3
CC19C	Treatment	2	Victivallaceae	0.000339328		CC19C	2	2	Victivallaceae	3
CC19D	Treatment	3	Victivallaceae	0		CC19D	3	2	Victivallaceae	0
CC20A	Treatment	0	Victivallaceae	0		CC20A	0	2	Victivallaceae	0
CC20B	Treatment	1	Victivallaceae	0		CC20B	1	2	Victivallaceae	0
CC20C	Treatment	2	Victivallaceae	7.16E-05		CC20C	2	2	Victivallaceae	1
CC20D	Treatment	3	Victivallaceae	5.40E-05		CC20D	3	2	Victivallaceae	1
CC21A	Treatment	0	Victivallaceae	0.000180652		CC21A	0	2	Victivallaceae	0
CC21B	Treatment	1	Victivallaceae	0.00011782		CC21B	1	2	Victivallaceae	2
CC21C	Treatment	2	Victivallaceae	0.000414136		CC21C	2	2	Victivallaceae	6
CC21D	Treatment	3	Victivallaceae	0		CC21D	3	2	Victivallaceae	0
CC22A	Treatment	0	Victivallaceae	0		CC22A	0	2	Victivallaceae	0
CC22B	Treatment	1	Victivallaceae	7.36E-05		CC22B	1	2	Victivallaceae	1
CC22C	Treatment	2	Victivallaceae	0.002309024		CC22C	2	2	Victivallaceae	12
CC22D	Treatment	3	Victivallaceae	0		CC22D	3	2	Victivallaceae	0
CC23A	Treatment	0	Victivallaceae	0		CC23A	0	2	Victivallaceae	0
CC23B	Treatment	1	Victivallaceae	0		CC23B	1	2	Victivallaceae	0
CC23C	Treatment	2	Victivallaceae	0		CC23C	2	2	Victivallaceae	0
CC23D	Treatment	3	Victivallaceae	0		CC23D	3	2	Victivallaceae	0
CC24A	Treatment	0	Victivallaceae	0.000101616		CC24A	0	2	Victivallaceae	1
CC24B	Treatment	1	Victivallaceae	0.000126887		CC24B	1	2	Victivallaceae	2
CC24D	Treatment	3	Victivallaceae	0.000400053		CC24D	3	2	Victivallaceae	6
CC01A	Control	0	Lactobacillales	4.40E-05		CC01A	0	1	Eubacterium	5
CC01B	Control	1	Lactobacillales	0.00022633		CC01B	1	1	Eubacterium	0
CC01C	Control	2	Lactobacillales	0		CC01C	2	1	Eubacterium	0
CC01D	Control	3	Lactobacillales	0		CC01D	3	1	Eubacterium	1
CC02A	Control	0	Lactobacillales	0		CC02A	0	1	Eubacterium	0
CC02B	Control	1	Lactobacillales	0		CC02B	1	1	Eubacterium	0
CC02C	Control	2	Lactobacillales	0		CC02C	2	1	Eubacterium	0
CC02D	Control	3	Lactobacillales	0.000189215		CC02D	3	1	Eubacterium	0
CC03A	Control	0	Lactobacillales	0		CC03A	0	1	Eubacterium	1
CC03B	Control	1	Lactobacillales	9.05E-05		CC03B	1	1	Eubacterium	0
CC03C	Control	2	Lactobacillales	0		CC03C	2	1	Eubacterium	0
CC03D	Control	3	Lactobacillales	0.000129066		CC03D	3	1	Eubacterium	0
CC04A	Control	0	Lactobacillales	0		CC04A	0	1	Eubacterium	0
CC04B	Control	1	Lactobacillales	0		CC04B	1	1	Eubacterium	0
CC04C	Control	2	Lactobacillales	6.98E-05		CC04C	2	1	Eubacterium	0
CC04D	Control	3	Lactobacillales	0.000129374		CC04D	3	1	Eubacterium	0
CC05A	Control	0	Lactobacillales	0		CC05A	0	1	Eubacterium	32
CC05B	Control	1	Lactobacillales	0		CC05B	1	1	Eubacterium	3
CC05C	Control	2	Lactobacillales	0.000554539		CC05C	2	1	Eubacterium	0
CC05D	Control	3	Lactobacillales	3.27E-05		CC05D	3	1	Eubacterium	0
CC06C	Control	2	Lactobacillales	3.57E-05		CC06C	2	1	Eubacterium	0
CC06D	Control	3	Lactobacillales	0		CC06D	3	1	Eubacterium	0
CC07A	Control	0	Lactobacillales	0		CC07A	0	1	Eubacterium	0
CC07B	Control	1	Lactobacillales	9.10E-05		CC07B	1	1	Eubacterium	4
CC07C	Control	2	Lactobacillales	5.42E-05		CC07C	2	1	Eubacterium	0
CC07D	Control	3	Lactobacillales	0.000186116		CC07D	3	1	Eubacterium	1
CC08A	Control	0	Lactobacillales	0		CC08A	0	1	Eubacterium	0
CC08B	Control	1	Lactobacillales	0.00020829		CC08B	1	1	Eubacterium	0
CC08C	Control	2	Lactobacillales	0		CC08C	2	1	Eubacterium	0
CC08D	Control	3	Lactobacillales	9.30E-05		CC08D	3	1	Eubacterium	0
CC09A	Control	0	Lactobacillales	0		CC09A	0	1	Eubacterium	6
CC09B	Control	1	Lactobacillales	0.000150122		CC09B	1	1	Eubacterium	0
CC09C	Control	2	Lactobacillales	0		CC09C	2	1	Eubacterium	0
CC09D	Control	3	Lactobacillales	0		CC09D	3	1	Eubacterium	0
CC10A	Control	0	Lactobacillales	0.000138918		CC10A	0	1	Eubacterium	10
CC11A	Control	0	Lactobacillales	0		CC11A	0	1	Eubacterium	1
CC11B	Control	1	Lactobacillales	0		CC11B	1	1	Eubacterium	0
CC11C	Control	2	Lactobacillales	0.000272554		CC11C	2	1	Eubacterium	0
CC11D	Control	3	Lactobacillales	0.000175454		CC11D	3	1	Eubacterium	0
CC12A	Control	0	Lactobacillales	0		CC12A	0	1	Eubacterium	0
CC12B	Control	1	Lactobacillales	9.21E-05		CC12B	1	1	Eubacterium	0
CC12C	Control	2	Lactobacillales	0		CC12C	2	1	Eubacterium	0
CC12D	Control	3	Lactobacillales	0		CC12D	3	1	Eubacterium	0
CC13A	Treatment	0	Lactobacillales	0.000101215		CC13A	0	2	Eubacterium	1
CC13B	Treatment	1	Lactobacillales	0		CC13B	1	2	Eubacterium	2
CC13C	Treatment	2	Lactobacillales	0		CC13C	2	2	Eubacterium	0
CC13D	Treatment	3	Lactobacillales	7.06E-05		CC13D	3	2	Eubacterium	0
CC14A	Treatment	0	Lactobacillales	0		CC14A	0	2	Eubacterium	9
CC14B	Treatment	1	Lactobacillales	0		CC14B	1	2	Eubacterium	2
CC14C	Treatment	2	Lactobacillales	0		CC14C	2	2	Eubacterium	12
CC14D	Treatment	3	Lactobacillales	7.44E-05		CC14D	3	2	Eubacterium	0
CC15A	Treatment	0	Lactobacillales	0		CC15A	0	2	Eubacterium	0
CC15B	Treatment	1	Lactobacillales	0		CC15B	1	2	Eubacterium	1
CC15C	Treatment	2	Lactobacillales	0		CC15C	2	2	Eubacterium	0
CC15D	Treatment	3	Lactobacillales	0		CC15D	3	2	Eubacterium	1
